Vantaan koko kaupungin väestöennuste 1.1.2019 - 1.1.2045;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sukupuoli;Age;2019;2020;2021;2022;2023;2024;2025;2026;2027;2028;2029;2030;2031;2032;2033;2034;2035;2036;2037;2038;2039;2040;2041;2042;2043;2044;2045
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kaikki ;0;2576;2687;2775;2850;2928;3010;3084;3152;3211;3263;3313;3351;3386;3407;3425;3441;3457;3469;3481;3490;3499;3507;3516;3524;3534;3544;3554
Kaikki ;1;2613;2622;2720;2823;2899;2981;3055;3125;3187;3244;3297;3340;3379;3414;3435;3453;3470;3486;3497;3509;3519;3528;3536;3546;3554;3563;3573
Kaikki ;2;2622;2618;2614;2725;2828;2906;2979;3049;3113;3171;3228;3273;3316;3354;3388;3408;3426;3442;3457;3468;3480;3489;3498;3505;3513;3521;3530
Kaikki ;3;2593;2624;2610;2616;2726;2831;2902;2971;3034;3095;3153;3204;3249;3291;3328;3362;3382;3399;3415;3429;3440;3451;3459;3468;3474;3483;3490
Kaikki ;4;2779;2603;2625;2619;2626;2738;2836;2903;2967;3028;3089;3142;3192;3236;3278;3315;3348;3368;3385;3400;3414;3424;3435;3443;3451;3457;3465
Kaikki ;5;2722;2784;2599;2630;2624;2632;2737;2832;2894;2956;3017;3072;3124;3174;3218;3259;3296;3329;3348;3364;3379;3393;3402;3413;3420;3428;3433
Kaikki ;6;2666;2727;2782;2604;2634;2629;2632;2735;2825;2886;2947;3003;3058;3110;3159;3203;3244;3280;3313;3331;3347;3361;3375;3384;3394;3401;3408
Kaikki ;7;2719;2681;2737;2797;2619;2651;2642;2643;2742;2832;2892;2950;3006;3061;3112;3161;3205;3246;3282;3314;3333;3349;3363;3376;3385;3395;3402
Kaikki ;8;2780;2727;2683;2744;2804;2628;2655;2645;2642;2741;2829;2886;2944;3000;3054;3106;3154;3197;3238;3274;3306;3324;3339;3353;3366;3375;3384
Kaikki ;9;2744;2800;2742;2703;2765;2826;2647;2673;2661;2657;2756;2843;2900;2957;3013;3067;3119;3168;3211;3251;3287;3319;3337;3353;3367;3380;3389
Kaikki ;10;2740;2761;2812;2760;2721;2784;2842;2661;2686;2672;2669;2765;2852;2909;2966;3022;3077;3128;3177;3220;3260;3296;3328;3346;3362;3376;3389
Kaikki ;11;2672;2764;2782;2837;2785;2748;2808;2865;2683;2707;2694;2689;2785;2872;2928;2986;3042;3096;3148;3197;3240;3280;3316;3349;3367;3382;3396
Kaikki ;12;2690;2684;2771;2794;2849;2798;2758;2816;2871;2688;2712;2696;2691;2787;2874;2931;2988;3044;3099;3150;3199;3242;3282;3318;3350;3369;3384
Kaikki ;13;2486;2711;2701;2792;2815;2872;2819;2777;2834;2888;2705;2727;2711;2706;2802;2889;2946;3004;3060;3115;3166;3215;3258;3299;3335;3367;3385
Kaikki ;14;2566;2513;2734;2729;2821;2845;2900;2846;2803;2859;2914;2730;2752;2736;2731;2828;2915;2972;3030;3086;3141;3193;3242;3285;3326;3362;3395
