Onnett_id;Osall_id;Henkilo_id;Osnro;Kulj_matk;Ikä;Sukupuoli;Kortti;Seuraus;Seuraussel;Kulj_kans;Ajokortlk;Ajokortikä
8119640;14454817;14384190;1;KU;51;M; ;0;ei henkilövahinkoa;SF ;AB          ;33
8119640;14455085;14384406;2;KU;37;M; ;0;ei henkilövahinkoa;SYR;AB          ;
8119692;14455462;14384755;2;KU;34;M; ;0;ei henkilövahinkoa;SF ;B           ;6
8119692;14455904;14385497;1;KU;45;N; ;0;ei henkilövahinkoa;SF ;ABCD1       ;28
8120142;14454020;14385557;2;KU;31;M; ;0;ei henkilövahinkoa;SF ;            ;
8120142;14454607;14385294;1;KU;23;N; ;0;ei henkilövahinkoa;D  ;B           ;
8772231;15644257;15594101;1;XX;; ; ;-;NA;   ;            ;
8772559;15644359;15592976;1;XX;; ; ;-;NA;   ;            ;
8772673;15644313;15593344;1;XX;; ; ;-;NA;   ;            ;
8772674;15644630;15593952;1;XX;; ; ;-;NA;   ;            ;
8120592;14454348;14385928;1;XX;; ; ;-;NA;   ;            ;
8119778;14453958;14383743;1;KU;39;M; ;0;ei henkilövahinkoa;SF ;ABC         ;21
8119778;14455437;14384865;2;KU;43;M; ;0;ei henkilövahinkoa;GH ;BCD         ;16
8772675;15644650;15593294;1;XX;; ; ;-;NA;   ;            ;
8120676;14453621;14384014;2;KU;28;M; ;0;ei henkilövahinkoa;SF ;BC          ;
8120676;14453628;14384492;1;KU;63;M; ;0;ei henkilövahinkoa;SF ;ABECE       ;35
8120141;14453883;14384373;1;KU;55;M; ;0;ei henkilövahinkoa;SF ;AB          ;28
8120141;14454111;14386215;2;KU;19;M;X;0;ei henkilövahinkoa;SF ;B           ;
8120037;14455367;14383641;1;KU;27;M; ;0;ei henkilövahinkoa;SF ;ABEC        ;6
8120037;14455656;14383734;2;KU;24;M; ;0;ei henkilövahinkoa;SF ;B           ;7
8119826;14454323;14385769;4;KU;39;N; ;0;ei henkilövahinkoa;SF ;BE          ;21
8119826;14454358;14383561;5;KU;37;N; ;L;loukkaantunut;SF ;B           ;19
8119826;14454750;14384453;2;KU;39;M; ;0;ei henkilövahinkoa;SF ;ABEC1EC     ;22
8119826;14454811;14384278;3;KU;30;M; ;0;ei henkilövahinkoa;SF ;BECE        ;2
8119826;14455167;14385307;1;KU;32;M; ;0;ei henkilövahinkoa;SF ;            ;
8120270;14454031;14385458;1;KU;32;M; ;0;ei henkilövahinkoa;SF ;B           ;5
8120474;14454110;14385290;2;KU;37;M; ;L;loukkaantunut;SF ;BC          ;19
8120474;14454893;14384255;1;KU;57;N; ;0;ei henkilövahinkoa;SF ;ABECD       ;11
8119952;14454338;14384248;2;KU;50;M; ;0;ei henkilövahinkoa;SF ;ABCD        ;15
8119952;14455866;14384456;1;KU;47;M; ;0;ei henkilövahinkoa;SF ;AB          ;30
8120384;14456004;14386266;1;KU;37;M; ;0;ei henkilövahinkoa;SF ;B           ;19
8120252;14454799;14384018;2;KU;29;M; ;0;ei henkilövahinkoa;SF ;B           ;11
8120252;14455261;14384013;1;KU;49;M; ;0;ei henkilövahinkoa;SF ;ABC         ;
8119690;14454119;14384349;1;KU;18;M; ;0;ei henkilövahinkoa;SF ;B           ;
8119690;14454119;14384700;1;MA;19;M; ;0;ei henkilövahinkoa;SF ;            ;
8119690;14454184;14384618;3;KU;26;M; ;0;ei henkilövahinkoa;EV ;BC          ;
8119690;14454268;14383704;2;MA;36;M; ;0;ei henkilövahinkoa;SF ;            ;
8119690;14454268;14386155;2;KU;43;N; ;0;ei henkilövahinkoa;SF ;B           ;19
8130832;14472942;14404973;1;KU;61;M; ;0;ei henkilövahinkoa;SF ;AB          ;43
8130832;14472943;14404972;2;XX;; ; ;-;NA;   ;            ;
8120640;14455284;14385304;2;KU;39;M; ;0;ei henkilövahinkoa;IRQ;BC1D1       ;6
8120640;14455341;14384019;1;MA;26;N; ;0;ei henkilövahinkoa;SF ;            ;
8120640;14455341;14385724;1;KU;28;M; ;0;ei henkilövahinkoa;UKR;B           ;11
8120186;14454909;14385272;2;KU;68;M; ;L;loukkaantunut;SF ;AB          ;46
8120186;14455812;14383610;1;KU;48;M; ;L;loukkaantunut;SF ;AB          ;28
